pdb_id,protein_path,pocket_path,ligand_path,ligand_format,valid,error,source
.cache,data/refined_set\.cache\.cache_protein.pdb,data/refined_set\.cache\.cache_pocket.pdb,,,False,missing .cache_pocket.pdb,refined
10gs,data/refined_set\10gs\10gs_protein.pdb,data/refined_set\10gs\10gs_pocket.pdb,data/refined_set\10gs\10gs_ligand.mol2,mol2,True,,refined
184l,data/refined_set\184l\184l_protein.pdb,data/refined_set\184l\184l_pocket.pdb,data/refined_set\184l\184l_ligand.mol2,mol2,True,,refined
185l,data/refined_set\185l\185l_protein.pdb,data/refined_set\185l\185l_pocket.pdb,data/refined_set\185l\185l_ligand.mol2,mol2,True,,refined
186l,data/refined_set\186l\186l_protein.pdb,data/refined_set\186l\186l_pocket.pdb,data/refined_set\186l\186l_ligand.mol2,mol2,True,,refined
187l,data/refined_set\187l\187l_protein.pdb,data/refined_set\187l\187l_pocket.pdb,data/refined_set\187l\187l_ligand.mol2,mol2,True,,refined
188l,data/refined_set\188l\188l_protein.pdb,data/refined_set\188l\188l_pocket.pdb,data/refined_set\188l\188l_ligand.mol2,mol2,True,,refined
1a1e,data/refined_set\1a1e\1a1e_protein.pdb,data/refined_set\1a1e\1a1e_pocket.pdb,data/refined_set\1a1e\1a1e_ligand.mol2,mol2,True,,refined
1a28,data/refined_set\1a28\1a28_protein.pdb,data/refined_set\1a28\1a28_pocket.pdb,data/refined_set\1a28\1a28_ligand.mol2,mol2,True,,refined
1a30,data/refined_set\1a30\1a30_protein.pdb,data/refined_set\1a30\1a30_pocket.pdb,data/refined_set\1a30\1a30_ligand.mol2,mol2,True,,refined
1a4k,data/refined_set\1a4k\1a4k_protein.pdb,data/refined_set\1a4k\1a4k_pocket.pdb,data/refined_set\1a4k\1a4k_ligand.mol2,mol2,True,,refined
1a4r,data/refined_set\1a4r\1a4r_protein.pdb,data/refined_set\1a4r\1a4r_pocket.pdb,data/refined_set\1a4r\1a4r_ligand.mol2,mol2,True,,refined
1a4w,data/refined_set\1a4w\1a4w_protein.pdb,data/refined_set\1a4w\1a4w_pocket.pdb,data/refined_set\1a4w\1a4w_ligand.mol2,mol2,True,,refined
1a69,data/refined_set\1a69\1a69_protein.pdb,data/refined_set\1a69\1a69_pocket.pdb,data/refined_set\1a69\1a69_ligand.mol2,mol2,True,,refined
1a94,data/refined_set\1a94\1a94_protein.pdb,data/refined_set\1a94\1a94_pocket.pdb,data/refined_set\1a94\1a94_ligand.mol2,mol2,True,,refined
1a99,data/refined_set\1a99\1a99_protein.pdb,data/refined_set\1a99\1a99_pocket.pdb,data/refined_set\1a99\1a99_ligand.mol2,mol2,True,,refined
1a9m,data/refined_set\1a9m\1a9m_protein.pdb,data/refined_set\1a9m\1a9m_pocket.pdb,data/refined_set\1a9m\1a9m_ligand.mol2,mol2,True,,refined
1a9q,data/refined_set\1a9q\1a9q_protein.pdb,data/refined_set\1a9q\1a9q_pocket.pdb,data/refined_set\1a9q\1a9q_ligand.mol2,mol2,True,,refined
1aaq,data/refined_set\1aaq\1aaq_protein.pdb,data/refined_set\1aaq\1aaq_pocket.pdb,data/refined_set\1aaq\1aaq_ligand.mol2,mol2,True,,refined
1add,data/refined_set\1add\1add_protein.pdb,data/refined_set\1add\1add_pocket.pdb,data/refined_set\1add\1add_ligand.mol2,mol2,True,,refined
1adl,data/refined_set\1adl\1adl_protein.pdb,data/refined_set\1adl\1adl_pocket.pdb,data/refined_set\1adl\1adl_ligand.mol2,mol2,True,,refined
1ado,data/refined_set\1ado\1ado_protein.pdb,data/refined_set\1ado\1ado_pocket.pdb,data/refined_set\1ado\1ado_ligand.mol2,mol2,True,,refined
1afk,data/refined_set\1afk\1afk_protein.pdb,data/refined_set\1afk\1afk_pocket.pdb,data/refined_set\1afk\1afk_ligand.mol2,mol2,True,,refined
1afl,data/refined_set\1afl\1afl_protein.pdb,data/refined_set\1afl\1afl_pocket.pdb,data/refined_set\1afl\1afl_ligand.mol2,mol2,True,,refined
